COURSE_CODE	PREREQ_STRING	TOKENS	STATUS
AEM 2240	AEM 2100, AEM 2200 and AEM 2225, or equivalents.	COURSE(AEM 2100) AND COURSE(AEM 2200) AND COURSE(AEM 2225)	OK
AEM 2241	AEM 2100, AEM 2210, or equivalents.	COURSE(AEM 2100) OR COURSE(AEM 2210)	OK
AEM 2350	at least one full semester university course in introductory economics.	COURSE(Special requirement: one full semester university course in introductory economics)	OK
AEM 2500	ECON 1110.	COURSE(ECON 1110)	OK
AEM 2555	First-Year Writing Seminar or equivalent.	COURSE(Special requirement: First-Year Writing Seminar)	OK
AEM 2600	ECON 1110,  MATH 1110.	COURSE(ECON 1110) AND COURSE(MATH 1110)	OK
AEM 2810	ECON 1110, First-Year Writing Seminar.	COURSE(ECON 1110) AND COURSE(Special requirement: First-Year Writing Seminar)	OK
AEM 2818	First-Year Writing Seminar or equivalent.	COURSE(Special requirement: First-Year Writing Seminar)	OK
AEM 2820	AEM 2010.	COURSE(AEM 2010)	OK
AEM 3000	completion of Grand Challenges writing requirement or permission of instructor.	LPAREN COURSE(Special requirement: Grand Challenges writing requirement) RPAREN OR COURSE(Permission: permission of instructor)	OK
AEM 3020	at least one of the following courses: AEM 1200, AEM 2050, AEM 2200, AEM 2240 / 2241, AEM 2310.	COURSE(AEM 1200) OR COURSE(AEM 2050) OR COURSE(AEM 2200) OR COURSE(AEM 2240) OR COURSE(AEM 2241) OR COURSE(AEM 2310)	OK (manually corrected)
AEM 3100	AEM 2100 or equivalent.	COURSE(AEM 2100)	OK
AEM 3205	AEM 2200 or equivalent.	COURSE(AEM 2200)	OK
AEM 3220	AEM 2200 or ECON 1110.	COURSE(AEM 2200) OR COURSE(ECON 1110)	OK
AEM 3245	AEM 1200 or AEM 2200 or equivalent.	COURSE(AEM 1200) OR COURSE(AEM 2200)	OK
AEM 3310	ECON 1110 or AEM 2200, or equivalent.	COURSE(ECON 1110) OR COURSE(AEM 2200)	OK
AEM 3360	AEM 2225.	COURSE(AEM 2225)	OK
AEM 4000	Grand Challenges writing course and AEM 3000.	COURSE(Special requirement: Grand Challenges writing course) AND COURSE(AEM 3000)	OK
AEM 4110	AEM 2100, AEM 2600 or equivalent.	COURSE(AEM 2100) OR COURSE(AEM 2600)	OK
AEM 4150	AEM 2100 and AEM 2600, or ECON 3030, or PUBPOL 2000, or equivalent.	LPAREN COURSE(AEM 2100) AND COURSE(AEM 2600) RPAREN OR COURSE(ECON 3030) OR COURSE(PPUBPOL 2000)	OK (manually corrected)
AEM 4225	AEM 2210 or AEM 2225, AEM 2100.	LPAREN COURSE(AEM 2210) OR COURSE(AEM 2225) RPAREN AND COURSE(AEM 2100)	OK (manually corrected)
AEM 4230	AEM 2240 or equivalent.	COURSE(AEM 2240)	OK
AEM 4400	AEM 2420 or equivalent.	COURSE(AEM 2420)	OK
AEM 4420	AEM 2420 and PUBPOL 2000, or ECON 3030, or AEM 2600.	LPAREN COURSE(AEM 2420) AND COURSE(PPUBPOL 2000) RPAREN OR COURSE(ECON 3030) OR COURSE(AEM 2600)	OK (manually corrected)
AEM 4435	AEM 2100, AEM 2420, AEM 2010, or equivalent.	COURSE(AEM 2100) OR COURSE(AEM 2420) OR COURSE(AEM 2010)	OK
AEM 4485	ECON 1110, AEM 2100, or equivalent, and 9 additional credits in economics, applied economics, or nutrition. Recommended prerequisite: ECON 3140, NS 3600, or equivalent.	LPAREN COURSE(ECON 1110) OR COURSE(AEM 2100) RPAREN AND COURSE(Special requirement: 9 additional credits in economics/applied economics/nutrition)	OK (manually corrected)
AEM 4520	AEM 3360.	COURSE(AEM 3360)	OK
AEM 4530	AEM 3360.	COURSE(AEM 3360)	OK
AEM 4531	AEM 2225 or equivalent.	COURSE(AEM 2225)	OK
AEM 4533	AEM 2225 or equivalent.	COURSE(AEM 2225)	OK
AEM 4545	ECON 3040 and ECON 3120 or ECON 3140 or equivalent.	COURSE(ECON 3040) AND LPAREN COURSE(ECON 3120) OR COURSE(ECON 3140) RPAREN	OK (manually corrected)
AEM 4570	AEM 2240.	COURSE(AEM 2240)	OK
AEM 4660	AEM 2210, AEM 2225, or equivalent. Corequisite: AEM 2240, AEM 2241, or equivalent.	COURSE(AEM 2210) OR COURSE(AEM 2225)	OK
AEM 4665	AEM 2225, AEM 2240, or equivalent.	COURSE(AEM 2225) OR COURSE(AEM 2240)	OK
AEM 4670	AEM 2240.	COURSE(AEM 2240)	OK
AEM 4990	GPA of at least 2.7.	COURSE(Special requirement: GPA of at least 2.7)	OK (manually corrected)
AEM 4992	GPA of at least 2.7.	COURSE(Special requirement: GPA of at least 2.7)	OK (manually corrected)
AEM 5225	AEM 2210 or AEM 2225, AEM 2100.	LPAREN COURSE(AEM 2210) OR COURSE(AEM 2225) RPAREN AND COURSE(AEM 2100)	OK (manually corrected)
AEM 5230	AEM 2240 or equivalent.	COURSE(AEM 2240)	OK
AEM 5400	AEM 2420 or equivalent,	COURSE(AEM 2420)	OK
